"","gs_cat","gs_subcat","gs_name","gene_symbol","entrez_gene","ensembl_gene","human_gene_symbol","human_entrez_gene","human_ensembl_gene","gs_id","gs_pmid","gs_geoid","gs_exact_source","gs_url","gs_description"
"2170","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","DKK1",22943,"ENSG00000107984","DKK1",22943,"ENSG00000107984","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2171","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","DPYSL3",1809,"ENSG00000113657","DPYSL3",1809,"ENSG00000113657","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2172","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","DST",667,"ENSG00000151914","DST",667,"ENSG00000151914","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2173","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ECM1",1893,"ENSG00000143369","ECM1",1893,"ENSG00000143369","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2174","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ECM2",1842,"ENSG00000106823","ECM2",1842,"ENSG00000106823","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2175","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","EDIL3",10085,"ENSG00000164176","EDIL3",10085,"ENSG00000164176","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2176","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","EFEMP2",30008,"ENSG00000172638","EFEMP2",30008,"ENSG00000172638","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2177","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ELN",2006,"ENSG00000049540","ELN",2006,"ENSG00000049540","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2178","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","EMP3",2014,"ENSG00000142227","EMP3",2014,"ENSG00000142227","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2179","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ENO2",2026,"ENSG00000111674","ENO2",2026,"ENSG00000111674","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2180","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FAP",2191,"ENSG00000078098","FAP",2191,"ENSG00000078098","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2181","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FAS",355,"ENSG00000026103","FAS",355,"ENSG00000026103","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2182","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FBLN1",2192,"ENSG00000077942","FBLN1",2192,"ENSG00000077942","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2183","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FBLN2",2199,"ENSG00000163520","FBLN2",2199,"ENSG00000163520","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2184","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FBLN5",10516,"ENSG00000140092","FBLN5",10516,"ENSG00000140092","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2185","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FBN1",2200,"ENSG00000166147","FBN1",2200,"ENSG00000166147","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2186","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FBN2",2201,"ENSG00000138829","FBN2",2201,"ENSG00000138829","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2187","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FERMT2",10979,"ENSG00000073712","FERMT2",10979,"ENSG00000073712","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2188","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FGF2",2247,"ENSG00000138685","FGF2",2247,"ENSG00000138685","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2189","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FLNA",2316,"ENSG00000196924","FLNA",2316,"ENSG00000196924","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2190","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FMOD",2331,"ENSG00000122176","FMOD",2331,"ENSG00000122176","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2191","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FN1",2335,"ENSG00000115414","FN1",2335,"ENSG00000115414","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2192","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FOXC2",2303,"ENSG00000176692","FOXC2",2303,"ENSG00000176692","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2193","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FSTL1",11167,"ENSG00000163430","FSTL1",11167,"ENSG00000163430","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2194","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FSTL3",10272,"ENSG00000070404","FSTL3",10272,"ENSG00000070404","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2195","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FUCA1",2517,"ENSG00000179163","FUCA1",2517,"ENSG00000179163","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2196","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","FZD8",8325,"ENSG00000177283","FZD8",8325,"ENSG00000177283","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2197","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GADD45A",1647,"ENSG00000116717","GADD45A",1647,"ENSG00000116717","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2198","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GADD45B",4616,"ENSG00000099860","GADD45B",4616,"ENSG00000099860","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2199","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GAS1",2619,"ENSG00000180447","GAS1",2619,"ENSG00000180447","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2200","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GEM",2669,"ENSG00000164949","GEM",2669,"ENSG00000164949","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2201","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GJA1",2697,"ENSG00000152661","GJA1",2697,"ENSG00000152661","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2202","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GLIPR1",11010,"ENSG00000139278","GLIPR1",11010,"ENSG00000139278","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2203","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GPC1",2817,"ENSG00000063660","GPC1",2817,"ENSG00000063660","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2204","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GPX7",2882,"ENSG00000116157","GPX7",2882,"ENSG00000116157","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2205","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GREM1",26585,"ENSG00000166923","GREM1",26585,"ENSG00000166923","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2206","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GREM1",26585,"ENSG00000276886","GREM1",26585,"ENSG00000276886","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2207","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GREM1",26585,"ENSG00000282046","GREM1",26585,"ENSG00000282046","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2208","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HTRA1",5654,"ENSG00000166033","HTRA1",5654,"ENSG00000166033","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2209","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ID2",3398,"ENSG00000115738","ID2",3398,"ENSG00000115738","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2210","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","IGFBP2",3485,"ENSG00000115457","IGFBP2",3485,"ENSG00000115457","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2211","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","IGFBP3",3486,"ENSG00000146674","IGFBP3",3486,"ENSG00000146674","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2212","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","IGFBP4",3487,"ENSG00000141753","IGFBP4",3487,"ENSG00000141753","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2213","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","IL15",3600,"ENSG00000164136","IL15",3600,"ENSG00000164136","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2214","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","IL32",9235,"ENSG00000008517","IL32",9235,"ENSG00000008517","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2215","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","IL6",3569,"ENSG00000136244","IL6",3569,"ENSG00000136244","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2216","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","INHBA",3624,"ENSG00000122641","INHBA",3624,"ENSG00000122641","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2217","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ITGA2",3673,"ENSG00000164171","ITGA2",3673,"ENSG00000164171","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2218","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ITGA5",3678,"ENSG00000161638","ITGA5",3678,"ENSG00000161638","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2219","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ITGAV",3685,"ENSG00000138448","ITGAV",3685,"ENSG00000138448","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2220","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ITGB1",3688,"ENSG00000150093","ITGB1",3688,"ENSG00000150093","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2221","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ITGB3",3690,"ENSG00000259207","ITGB3",3690,"ENSG00000259207","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2222","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","ITGB5",3693,"ENSG00000082781","ITGB5",3693,"ENSG00000082781","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2223","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","JUN",3725,"ENSG00000177606","JUN",3725,"ENSG00000177606","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2224","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LAMA1",284217,"ENSG00000101680","LAMA1",284217,"ENSG00000101680","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2225","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LAMA2",3908,"ENSG00000196569","LAMA2",3908,"ENSG00000196569","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2226","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LAMA3",3909,"ENSG00000053747","LAMA3",3909,"ENSG00000053747","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2227","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LAMC1",3915,"ENSG00000135862","LAMC1",3915,"ENSG00000135862","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2228","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LAMC2",3918,"ENSG00000058085","LAMC2",3918,"ENSG00000058085","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2229","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LGALS1",3956,"ENSG00000100097","LGALS1",3956,"ENSG00000100097","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2230","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LOX",4015,"ENSG00000113083","LOX",4015,"ENSG00000113083","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2231","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LOXL1",4016,"ENSG00000129038","LOXL1",4016,"ENSG00000129038","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2232","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LOXL2",4017,"ENSG00000134013","LOXL2",4017,"ENSG00000134013","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2233","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LRP1",4035,"ENSG00000123384","LRP1",4035,"ENSG00000123384","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2234","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LRRC15",131578,"ENSG00000172061","LRRC15",131578,"ENSG00000172061","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2235","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","LUM",4060,"ENSG00000139329","LUM",4060,"ENSG00000139329","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2236","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MAGEE1",57692,"ENSG00000198934","MAGEE1",57692,"ENSG00000198934","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2237","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MATN2",4147,"ENSG00000132561","MATN2",4147,"ENSG00000132561","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2238","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MATN3",4148,"ENSG00000132031","MATN3",4148,"ENSG00000132031","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2239","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MCM7",4176,"ENSG00000166508","MCM7",4176,"ENSG00000166508","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2240","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MEST",4232,"ENSG00000106484","MEST",4232,"ENSG00000106484","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2241","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MFAP5",8076,"ENSG00000197614","MFAP5",8076,"ENSG00000197614","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2242","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MGP",4256,"ENSG00000111341","MGP",4256,"ENSG00000111341","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2243","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MMP1",4312,"ENSG00000189374","MMP1",4312,"ENSG00000189374","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2244","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MMP1",4312,"ENSG00000196611","MMP1",4312,"ENSG00000196611","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2245","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MMP14",4323,"ENSG00000157227","MMP14",4323,"ENSG00000157227","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2246","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MMP2",4313,"ENSG00000087245","MMP2",4313,"ENSG00000087245","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2247","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MMP3",4314,"ENSG00000149968","MMP3",4314,"ENSG00000149968","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2248","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MSX1",4487,"ENSG00000163132","MSX1",4487,"ENSG00000163132","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2249","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MXRA5",25878,"ENSG00000101825","MXRA5",25878,"ENSG00000101825","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2250","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MYL9",10398,"ENSG00000101335","MYL9",10398,"ENSG00000101335","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2251","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","MYLK",4638,"ENSG00000065534","MYLK",4638,"ENSG00000065534","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2252","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","NID2",22795,"ENSG00000087303","NID2",22795,"ENSG00000087303","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2253","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","NNMT",4837,"ENSG00000166741","NNMT",4837,"ENSG00000166741","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2254","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","NOTCH2",4853,"ENSG00000134250","NOTCH2",4853,"ENSG00000134250","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2255","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","NT5E",4907,"ENSG00000135318","NT5E",4907,"ENSG00000135318","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2256","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","NTM",50863,"ENSG00000182667","NTM",50863,"ENSG00000182667","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2257","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","OXTR",5021,"ENSG00000180914","OXTR",5021,"ENSG00000180914","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2258","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","P3H1",64175,"ENSG00000117385","P3H1",64175,"ENSG00000117385","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2259","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PCOLCE",5118,"ENSG00000106333","PCOLCE",5118,"ENSG00000106333","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2260","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PCOLCE2",26577,"ENSG00000163710","PCOLCE2",26577,"ENSG00000163710","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2261","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PDGFRB",5159,"ENSG00000113721","PDGFRB",5159,"ENSG00000113721","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2262","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PDLIM4",8572,"ENSG00000131435","PDLIM4",8572,"ENSG00000131435","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2263","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PFN2",5217,"ENSG00000070087","PFN2",5217,"ENSG00000070087","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2264","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PLAUR",5329,"ENSG00000011422","PLAUR",5329,"ENSG00000011422","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2265","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PLOD1",5351,"ENSG00000083444","PLOD1",5351,"ENSG00000083444","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2266","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PLOD2",5352,"ENSG00000152952","PLOD2",5352,"ENSG00000152952","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2267","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PLOD3",8985,"ENSG00000106397","PLOD3",8985,"ENSG00000106397","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2268","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PMEPA1",56937,"ENSG00000124225","PMEPA1",56937,"ENSG00000124225","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2269","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PMP22",5376,"ENSG00000109099","PMP22",5376,"ENSG00000109099","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2270","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","POSTN",10631,"ENSG00000133110","POSTN",10631,"ENSG00000133110","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2271","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PPIB",5479,"ENSG00000166794","PPIB",5479,"ENSG00000166794","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2272","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PRRX1",5396,"ENSG00000116132","PRRX1",5396,"ENSG00000116132","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2273","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PRSS2",5645,"ENSG00000275896","PRSS2",5645,"ENSG00000275896","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2274","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PRSS2",5645,"ENSG00000282049","PRSS2",5645,"ENSG00000282049","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2275","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PTHLH",5744,"ENSG00000087494","PTHLH",5744,"ENSG00000087494","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2276","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PTX3",5806,"ENSG00000163661","PTX3",5806,"ENSG00000163661","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2277","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","PVR",5817,"ENSG00000073008","PVR",5817,"ENSG00000073008","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2278","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","QSOX1",5768,"ENSG00000116260","QSOX1",5768,"ENSG00000116260","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
"2279","H","","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","RGS4",5999,"ENSG00000117152","RGS4",5999,"ENSG00000117152","M5930","26771021","","","","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis."
